sample_idx,csg,csl,d_adv_T,d_adv
0,300.34683,80.86806,0.35748511537459293,0.0030374548495867974
1,1.6165147,2.7622356,0.0017603880245790047,4.1661651484598966e-10
2,338.44617,39.64344,0.3839911251181695,0.007643959521291568
3,248.65324,83.52491,0.296896160215353,0.0003818383758247429
4,30.985641,19.139305,0.034356161952402514,1.556032571633154e-05
5,257.8848,89.476,0.3101224255709016,0.0029737936775475027
6,228.83658,52.434307,0.2634545814822377,0.0053545462717936405
7,79.191864,16.318901,0.08753237439117452,1.6771911450132916e-06
8,692.2759,62.113075,0.8059832156626059,0.03258121425177796
9,326.76233,58.71491,0.3789343391147296,0.00019411445412359954
10,33.609226,23.400732,0.037442044578418154,6.520652287276222e-06
11,336.0213,55.047134,0.38802122778460113,3.4670479104210676e-05
12,1.2461064,1.5804894,0.001355268451749581,3.0123399096579465e-09
13,581.0034,59.694767,0.6745349226137365,0.0006354740002557711
14,50.983624,11.40588,0.05604886249367668,1.8977365628823971e-06
15,438.485,124.68124,0.5506164916336673,0.0007770034813583109
16,115.481865,24.156418,0.12875989146952238,2.0728667258664594e-05
17,419.32,53.31135,0.4832419554872549,0.00040268781286686506
18,278.63437,41.285946,0.316720629064119,1.2848620857340073e-05
19,76.36359,10.709043,0.08388607022175039,2.312943574969299e-05
20,835.3589,175.69432,1.1207760276336198,6.888458509200682e-06
21,186.24559,66.05488,0.21783640952803204,0.0001594862547390335
22,306.20987,85.64029,0.3665455602911224,7.975314260995457e-06
23,133.01843,38.197346,0.1506716178690503,0.00025010996330630304
24,516.78937,65.219536,0.6038567549952761,0.000754277716981712
25,330.23016,46.31614,0.37752761700406035,0.0015849524463278084
26,946.00354,186.69064,1.288230476249443,0.3219721517528218
27,280.1816,39.29206,0.31775918309836354,0.00799554095859322
28,445.69974,118.44722,0.5553290035593383,3.92015431246533e-05
29,337.90317,93.38301,0.4082676840517815,0.001539306433817716
30,131.0929,26.60246,0.14656559425665835,0.0004654268634946512
31,77.596695,20.300825,0.08614836658141531,7.853663709261024e-06
32,120.84805,38.611263,0.1369502879455332,7.812550842262128e-05
33,571.5958,95.1586,0.6921090025788765,4.517092911508039e-05
34,494.75748,58.210335,0.5734166497959218,0.00026523163752856417
35,372.84677,53.8218,0.42993716572124185,0.002749098753799886
36,806.43536,99.64426,0.9817937632164814,0.6469438019432491
37,565.16455,92.36105,0.6820115556755629,0.010612129142637426
38,87.587135,18.246138,0.09701850828497813,0.0008585777236478332
39,19.343193,7.723837,0.02117921495659348,1.447096797164693e-08
40,768.6757,163.97073,1.015338765733669,0.019501155202992813
41,227.1611,48.066345,0.2602170783419371,0.0009223119408901894
42,28.09018,11.65324,0.030889347494679073,1.0907422677332146e-05
43,303.17566,47.693153,0.3471447000792431,0.0023369416385577288
44,138.80205,21.228512,0.154257829956747,0.00031828527213516756
45,53.43876,11.905525,0.058780203398373754,0.0006421555232052924
46,681.8337,112.49518,0.8432911685441822,0.0009136502288413238
47,458.2428,46.337547,0.523887774953632,0.00023687443511116786
48,952.97723,246.33055,1.4124385801890789,0.0012958358633173997
49,261.8493,92.78236,0.31614702417890067,0.0009052527763722875
50,347.816,49.131157,0.3989160001523246,0.018627861169551608
51,360.42087,123.66947,0.45201515534233216,0.002340489850657717
52,433.62268,60.793934,0.5040716876432497,0.0005462557036481273
53,419.78632,40.861942,0.4769366335820415,0.01920368771834437
54,32.65016,11.698826,0.035905528934973334,9.533147218793832e-06
55,505.42477,111.12845,0.6240539406247613,0.018697714647333774
56,348.79388,77.81148,0.4136439191909904,0.00015681322468307852
57,10.903962,3.630502,0.01188567704045579,0.0015514229132682427
58,453.20953,80.65381,0.5392910473914746,0.013907603492861053
59,405.15866,97.66629,0.49207497185372984,0.0006122611423971787
60,199.7007,38.05758,0.22616763675570611,0.00032704825006796376
61,490.41025,101.62596,0.598493305386499,0.00035287181667986316
62,509.96133,70.07584,0.5992789518817703,0.007271547230858904
63,639.39825,81.43121,0.7615484801321122,0.00015505448227971756
64,162.44983,32.746742,0.18287982956087567,0.0011077368164002996
65,237.84612,53.09368,0.2740350918189143,0.00012418032548615704
66,186.7409,29.150818,0.2093782030146508,0.0003918643095349356
67,302.2724,57.532867,0.3500544185526862,0.0002713740950766221
68,556.2939,54.424343,0.6419197570387437,8.831183411278287e-07
69,434.9874,81.62354,0.5182058112633375,0.015260164513378863
70,144.07553,28.441248,0.16141238506479288,0.0007114287441584944
71,439.65665,80.78651,0.5232465800202172,0.017592888471215144
72,264.1971,26.869972,0.29546827409809556,0.00011159772132207532
73,239.50955,50.294838,0.27506462579046437,9.527288803030996e-05
74,50.260258,10.2569275,0.05518392720370386,0.00012860317410229725
75,225.37044,48.351696,0.25825025554687714,0.001700200874570314
76,135.76611,27.390419,0.15192422406136338,6.643981512136525e-06
77,168.73708,31.618538,0.1897168150760418,0.0046351541003420765
78,18.697132,8.082148,0.02047986572302342,2.2347483626219667e-08
79,84.75021,13.275184,0.09336203474559823,9.064307230358301e-05
80,358.50488,37.388813,0.4057113341446015,0.01507764241360454
81,402.6928,71.05571,0.47376832690482834,0.017480780105423983
82,110.22306,12.211852,0.12128121695527955,0.00014128884789994608
83,206.25143,112.79805,0.25518714530685277,0.00047052390554384193
84,10.964891,5.40622,0.011975271204380009,6.04494553004684e-06
85,623.46466,85.20148,0.745920523285497,0.009082176984472322
